 # PENELOPE >>>  Electron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   2.18579E+05  7.73137E-19  8.86516E-19  4.33722E-23  1.65970E-18  2.85379E-20
   2.37847E+05  7.73137E-19  8.86601E-19  4.35066E-23  1.65978E-18  2.87626E-20
   2.58813E+05  7.73138E-19  8.86674E-19  4.36272E-23  1.65986E-18  2.89874E-20
   2.81627E+05  7.73138E-19  8.86736E-19  4.37361E-23  1.65992E-18  2.92116E-20
   3.06453E+05  7.73137E-19  8.86789E-19  4.38356E-23  1.65997E-18  2.94366E-20
   3.33466E+05  7.73135E-19  8.86833E-19  4.39280E-23  1.66001E-18  2.96609E-20
   3.62861E+05  7.73135E-19  8.86871E-19  4.40160E-23  1.66005E-18  2.98856E-20
   3.94847E+05  7.73135E-19  8.86903E-19  4.41023E-23  1.66008E-18  3.01104E-20
   4.29653E+05  7.73135E-19  8.86930E-19  4.41897E-23  1.66011E-18  3.03348E-20
   4.67527E+05  7.73135E-19  8.86953E-19  4.42818E-23  1.66013E-18  3.05595E-20
   5.08739E+05  7.73134E-19  8.86973E-19  4.43825E-23  1.66015E-18  3.07841E-20
   5.53584E+05  7.73134E-19  8.86989E-19  4.44932E-23  1.66017E-18  3.10082E-20
   6.02383E+05  7.73134E-19  8.87003E-19  4.46092E-23  1.66018E-18  3.12337E-20
   6.55483E+05  7.73133E-19  8.87015E-19  4.47268E-23  1.66019E-18  3.14578E-20
   7.13263E+05  7.73132E-19  8.87025E-19  4.48478E-23  1.66020E-18  3.16829E-20
   7.76137E+05  7.73132E-19  8.87033E-19  4.49756E-23  1.66021E-18  3.19075E-20
   8.44553E+05  7.73133E-19  8.87041E-19  4.51129E-23  1.66022E-18  3.21322E-20
   9.19000E+05  7.73133E-19  8.87047E-19  4.52578E-23  1.66022E-18  3.23572E-20
   1.00001E+06  7.73132E-19  8.87052E-19  4.54055E-23  1.66023E-18  3.25821E-20
