 # PENELOPE >>>  Positron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br       mfp_an       mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)         (cm)
 #-------------------------------------------------------------------------------------------
   2.64480E+04  2.14812E-05  1.90529E-05  4.41743E-01  6.95181E+01  1.00969E-05  7.22794E-04
   2.87794E+04  2.14792E-05  1.90250E-05  4.38373E-01  7.42053E+01  1.00886E-05  7.15943E-04
   3.13163E+04  2.14776E-05  1.89982E-05  4.35110E-01  7.92261E+01  1.00807E-05  7.09205E-04
   3.40768E+04  2.14767E-05  1.89725E-05  4.31953E-01  8.46054E+01  1.00733E-05  7.02577E-04
   3.70807E+04  2.14767E-05  1.89481E-05  4.28895E-01  9.03699E+01  1.00664E-05  6.96070E-04
   4.03493E+04  2.14777E-05  1.89250E-05  4.25931E-01  9.65483E+01  1.00601E-05  6.89657E-04
   4.39061E+04  2.14799E-05  1.89032E-05  4.23062E-01  1.03172E+02  1.00544E-05  6.83367E-04
   4.77764E+04  2.14826E-05  1.88829E-05  4.20300E-01  1.10274E+02  1.00493E-05  6.77180E-04
   5.19879E+04  2.14859E-05  1.88640E-05  4.17663E-01  1.17890E+02  1.00446E-05  6.71105E-04
   5.65706E+04  2.14895E-05  1.88467E-05  4.15150E-01  1.26060E+02  1.00405E-05  6.65129E-04
   6.15573E+04  2.14929E-05  1.88308E-05  4.12743E-01  1.34824E+02  1.00367E-05  6.59233E-04
   6.69835E+04  2.14960E-05  1.88163E-05  4.10422E-01  1.44229E+02  1.00333E-05  6.53455E-04
   7.28881E+04  2.14991E-05  1.88033E-05  4.08165E-01  1.54323E+02  1.00303E-05  6.47764E-04
   7.93132E+04  2.15021E-05  1.87917E-05  4.05951E-01  1.65157E+02  1.00276E-05  6.42163E-04
   8.63046E+04  2.15044E-05  1.87813E-05  4.03758E-01  1.76788E+02  1.00252E-05  6.36667E-04
   9.39123E+04  2.15064E-05  1.87722E-05  4.01576E-01  1.89277E+02  1.00230E-05  6.31254E-04
   1.02191E+05  2.15064E-05  1.87641E-05  3.99397E-01  2.02690E+02  1.00207E-05  6.25937E-04
   1.11199E+05  2.14928E-05  1.87571E-05  3.97223E-01  2.17096E+02  1.00157E-05  6.20724E-04
   1.21001E+05  2.14767E-05  1.87510E-05  3.95078E-01  2.32573E+02  1.00105E-05  6.15554E-04
   1.31667E+05  2.14694E-05  1.87457E-05  3.92985E-01  2.49201E+02  1.00074E-05  6.10486E-04
   1.43273E+05  2.14709E-05  1.87411E-05  3.90969E-01  2.67070E+02  1.00064E-05  6.05497E-04
   1.55903E+05  2.14731E-05  1.87371E-05  3.89053E-01  2.86274E+02  1.00058E-05  6.00583E-04
   1.69646E+05  2.14728E-05  1.87337E-05  3.87258E-01  3.06917E+02  1.00047E-05  5.95751E-04
   1.84600E+05  2.14724E-05  1.87308E-05  3.85602E-01  3.29108E+02  1.00038E-05  5.90997E-04
   2.00872E+05  2.14726E-05  1.87283E-05  3.84102E-01  3.52969E+02  1.00031E-05  5.86307E-04
   2.18579E+05  2.14727E-05  1.87262E-05  3.82767E-01  3.78626E+02  1.00025E-05  5.81726E-04
   2.37847E+05  2.14726E-05  1.87244E-05  3.81582E-01  4.06220E+02  1.00020E-05  5.77180E-04
   2.58813E+05  2.14726E-05  1.87229E-05  3.80525E-01  4.35900E+02  1.00016E-05  5.72703E-04
   2.81627E+05  2.14726E-05  1.87216E-05  3.79576E-01  4.67829E+02  1.00012E-05  5.68307E-04
   3.06453E+05  2.14726E-05  1.87205E-05  3.78713E-01  5.02179E+02  1.00009E-05  5.63962E-04
   3.33466E+05  2.14726E-05  1.87195E-05  3.77916E-01  5.39140E+02  1.00006E-05  5.59699E-04
   3.62861E+05  2.14726E-05  1.87187E-05  3.77160E-01  5.78915E+02  1.00004E-05  5.55490E-04
   3.94847E+05  2.14726E-05  1.87180E-05  3.76422E-01  6.21723E+02  1.00002E-05  5.51342E-04
   4.29653E+05  2.14726E-05  1.87175E-05  3.75678E-01  6.67800E+02  1.00000E-05  5.47264E-04
   4.67527E+05  2.14726E-05  1.87170E-05  3.74896E-01  7.17401E+02  9.99988E-06  5.43240E-04
   5.08739E+05  2.14726E-05  1.87166E-05  3.74045E-01  7.70801E+02  9.99977E-06  5.39276E-04
   5.53584E+05  2.14726E-05  1.87162E-05  3.73115E-01  8.28298E+02  9.99967E-06  5.35379E-04
   6.02383E+05  2.14726E-05  1.87159E-05  3.72145E-01  8.90213E+02  9.99958E-06  5.31512E-04
   6.55483E+05  2.14726E-05  1.87157E-05  3.71166E-01  9.56891E+02  9.99951E-06  5.27726E-04
   7.13263E+05  2.14726E-05  1.87155E-05  3.70165E-01  1.02871E+03  9.99945E-06  5.23976E-04
   7.76137E+05  2.14726E-05  1.87153E-05  3.69113E-01  1.10606E+03  9.99940E-06  5.20288E-04
   8.44553E+05  2.14725E-05  1.87151E-05  3.67990E-01  1.18939E+03  9.99935E-06  5.16649E-04
   9.19000E+05  2.14725E-05  1.87150E-05  3.66811E-01  1.27917E+03  9.99931E-06  5.13058E-04
   1.00001E+06  2.14726E-05  1.87149E-05  3.65618E-01  1.37590E+03  9.99928E-06  5.09516E-04
